Year,Month,Overall  CPI,Inflation Rate
1962,Mar,0.93,
,Jun,0.94,
,Sep,0.95,
,Dec,0.96,
1963,Mar,0.95,2.15
,Jun,0.96,2.13
,Sep,0.98,3.16
,Dec,0.99,3.13
1964,Mar,0.98,3.16
,Jun,0.98,2.08
,Sep,0.99,1.02
,Dec,1.01,2.02
1965,Mar,1.01,3.06
,Jun,1.02,4.08
,Sep,1.03,4.04
,Dec,1.04,2.97
1966,Mar,1.04,2.97
,Jun,1.05,2.94
,Sep,1.06,2.91
,Dec,1.06,1.92
1967,Mar,1.07,2.88
,Jun,1.08,2.86
,Sep,1.08,1.89
,Dec,1.09,2.83
1968,Mar,1.1,2.80
,Jun,1.1,1.85
,Sep,1.11,2.78
,Dec,1.11,1.83
1969,Mar,1.11,0.91
,Jun,1.12,1.82
,Sep,1.13,1.80
,Dec,1.13,1.80
1970,Mar,1.14,2.70
,Jun,1.22,8.93
,Sep,1.23,8.85
,Dec,1.24,9.73
1971,Mar,1.24,8.77
,Jun,1.25,2.46
,Sep,1.25,1.63
,Dec,1.26,1.61
1972,Mar,1.27,2.42
,Jun,1.3,4.00
,Sep,1.33,6.40
,Dec,1.37,8.73
1973,Mar,1.37,7.87
,Jun,1.43,10.00
,Sep,1.44,8.27
,Dec,1.5,9.49
1974,Mar,1.59,16.06
,Jun,1.66,16.08
,Sep,1.7,18.06
,Dec,1.74,16.00
1975,Mar,1.89,18.87
,Jun,1.95,17.47
,Sep,2,17.65
,Dec,2.04,17.24
1976,Mar,2.15,13.76
,Jun,2.16,10.77
,Sep,2.17,8.50
,Dec,2.19,7.35
1977,Mar,2.37,10.23
,Jun,2.44,12.96
,Sep,2.46,13.36
,Dec,2.5,14.16
1978,Mar,2.66,12.24
,Jun,2.73,11.89
,Sep,2.8,13.82
,Dec,2.82,12.80
1979,Mar,2.86,7.52
,Jun,2.95,8.06
,Sep,3.01,7.50
,Dec,3.12,10.64
1980,Mar,3.17,10.84
,Jun,3.33,12.88
,Sep,3.46,14.95
,Dec,3.51,12.50
1981,Mar,3.61,13.88
,Jun,3.7,11.11
,Sep,3.85,11.27
,Dec,4,13.96
1982,Mar,4.43,22.71
,Jun,4.46,20.54
,Sep,4.72,22.60
,Dec,4.94,23.50
1983,Mar,5.01,13.09
